cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
m,e,c,a,f,y,n,f,t,p,w,o,v,d,e
l,m,e,b,f,y,n,f,t,p,w,o,y,d,e
c,m,g,b,f,y,g,f,t,p,w,o,y,d,e
s,g,g,b,x,f,g,f,e,p,w,o,v,d,p
s,h,c,a,f,f,e,f,t,p,w,o,v,d,e
s,j,i,c,f,f,g,f,e,p,w,o,v,d,p
p,g,g,b,f,y,g,f,t,p,w,o,y,d,e
j,a,c,b,f,y,g,f,t,p,w,o,v,d,e
i,i,i,a,f,f,g,f,t,p,w,o,y,d,e
e,m,e,a,f,f,y,f,e,p,w,o,v,p,p
e,i,j,c,x,y,n,f,t,p,w,o,v,d,e
b,h,g,a,f,y,g,f,t,p,w,o,y,d,e
e,l,d,b,f,f,g,f,e,p,w,o,v,d,p
m,b,c,c,f,y,n,f,t,p,w,o,v,d,e
d,i,f,c,x,f,g,f,e,p,w,o,s,d,p
c,d,i,a,f,y,e,f,t,p,w,o,y,d,e
o,e,d,b,x,s,w,f,e,p,w,o,s,d,p
i,c,c,b,f,y,n,f,t,p,w,o,v,d,e
a,c,e,a,x,s,w,f,e,p,w,o,v,d,p
m,k,a,c,f,y,e,f,t,p,w,o,y,d,e
o,a,a,b,f,f,g,f,t,p,w,o,v,d,e
o,d,f,a,f,f,e,f,t,p,w,o,y,d,e
k,c,a,a,f,y,e,f,t,p,w,o,y,d,e
a,d,c,b,x,s,g,f,e,p,w,o,s,d,p
k,o,a,c,f,y,e,f,t,p,w,o,y,d,e
k,k,a,a,f,y,e,f,t,p,w,o,v,d,e
n,n,d,a,x,f,p,f,e,p,w,o,v,d,p
k,f,i,a,f,f,e,f,t,p,w,o,y,d,e
s,o,i,b,x,s,p,f,e,p,w,o,v,d,p
k,d,h,b,f,f,e,f,t,p,w,o,y,d,e
k,b,g,c,f,f,g,f,e,p,w,o,y,g,p
f,h,h,b,f,y,g,f,t,p,w,o,y,d,e
p,j,b,c,x,f,g,f,e,p,w,o,y,g,p
k,m,j,c,f,y,n,f,t,p,w,o,v,d,e
g,m,g,a,f,y,e,f,t,p,w,o,v,d,e
d,g,h,a,f,y,n,f,t,p,w,o,v,d,e
f,h,a,a,x,s,p,f,e,p,w,o,s,d,p
d,e,c,b,x,y,g,f,e,p,w,o,y,p,p
c,d,j,c,f,f,e,f,t,p,w,o,v,d,e
j,k,c,b,f,f,g,f,t,p,w,o,v,d,e
r,a,e,c,f,y,g,f,t,p,w,o,v,d,e
l,f,a,c,f,y,e,f,t,p,w,o,y,d,e
q,a,h,b,f,y,e,f,t,p,w,o,v,d,e
l,c,c,a,x,f,g,f,t,p,w,o,y,d,e
m,c,d,a,x,f,g,f,e,p,w,o,y,d,p
d,n,b,c,x,y,n,f,t,p,w,o,y,d,e
l,k,i,b,f,y,e,f,t,p,w,o,y,d,e
n,j,g,c,f,f,e,f,t,p,w,o,y,d,e
m,j,c,a,x,f,w,f,e,p,w,o,v,d,p
o,m,h,c,f,y,e,f,t,p,w,o,y,d,e
a,e,h,a,f,y,g,f,t,p,w,o,y,d,e
b,m,j,c,x,f,g,f,e,p,w,o,y,g,p
a,i,a,a,f,y,g,f,t,p,w,o,y,d,e
s,a,e,c,x,s,w,f,e,p,w,o,v,d,p
s,o,f,c,f,f,e,f,t,p,w,o,v,d,e
n,b,h,c,x,s,w,f,e,p,w,o,s,d,p
s,c,f,b,x,f,g,f,e,p,w,o,v,d,p
a,k,d,b,x,f,g,f,e,p,w,o,y,d,p
g,k,i,b,f,y,g,f,t,p,w,o,v,d,e
s,k,j,a,f,y,g,f,t,p,w,o,v,d,e
c,d,a,a,f,y,e,f,t,p,w,o,y,d,e
n,c,b,a,f,y,e,f,t,p,w,o,y,d,e
s,a,i,b,x,f,g,f,e,p,w,o,v,p,p
o,b,g,c,f,f,e,f,t,p,w,o,y,d,e
k,h,a,c,f,f,e,f,t,p,w,o,y,d,e
d,i,j,a,x,y,g,f,e,p,w,o,v,g,p
f,d,a,c,f,f,e,f,t,p,w,o,y,d,e
r,i,f,c,x,f,g,f,e,p,w,o,s,d,p
f,e,a,c,f,y,g,f,t,p,w,o,y,d,e
p,n,j,c,f,y,e,f,t,p,w,o,y,d,e
o,g,a,a,f,y,e,f,t,p,w,o,y,d,e
n,a,h,b,f,y,g,f,t,p,w,o,y,d,e
r,n,d,c,x,f,e,f,t,p,w,o,y,d,e
d,o,d,a,f,y,g,f,t,p,w,o,y,d,e
c,d,c,c,x,s,p,f,e,p,w,o,s,d,p
m,e,i,b,f,y,n,f,t,p,w,o,v,d,e
r,d,d,b,x,f,g,f,e,p,w,o,y,g,p
f,a,a,a,f,y,e,f,t,p,w,o,v,d,e
k,j,c,a,f,y,g,f,t,p,w,o,v,d,e
a,g,e,a,f,f,e,f,t,p,w,o,v,d,e
a,c,b,a,x,s,w,f,e,p,w,o,v,d,p
m,h,i,a,x,f,w,f,e,p,w,o,v,d,p
b,c,i,c,x,y,n,f,t,p,w,o,v,d,e
f,i,c,a,f,f,e,f,t,p,w,o,v,d,e
c,j,c,c,f,y,e,f,t,p,w,o,v,d,e
c,m,j,a,x,y,g,f,t,p,w,o,y,d,e
k,n,b,a,x,f,g,f,e,p,w,o,v,d,p
c,f,j,a,x,f,w,f,e,p,w,o,v,d,p
q,d,c,a,f,y,n,f,t,p,w,o,y,d,e
b,f,d,c,f,f,e,f,t,p,w,o,v,d,e
g,c,j,c,x,f,w,f,e,p,w,o,v,d,p
h,k,a,a,x,s,g,f,e,p,w,o,s,d,p
g,e,f,c,x,y,e,f,t,p,w,o,v,d,e
p,a,d,c,x,f,g,f,e,p,w,o,v,d,p
d,d,a,c,x,f,g,f,e,p,w,o,v,d,p
q,n,i,b,x,f,g,f,e,p,w,o,v,d,p
h,c,b,a,x,s,g,f,e,p,w,o,v,d,p
a,k,h,a,x,f,g,f,t,p,w,o,v,d,e
h,d,c,c,x,f,p,f,e,p,w,o,s,d,p
e,f,j,b,f,f,e,f,t,p,w,o,v,d,e
r,l,c,c,x,s,p,f,e,p,w,o,v,d,p
g,m,i,b,x,f,g,f,e,p,w,o,s,d,p
n,m,e,a,f,y,e,f,t,p,w,o,y,d,e
m,b,j,c,x,f,g,f,e,p,w,o,s,d,p
f,k,a,a,x,s,g,f,e,p,w,o,v,d,p
n,l,c,a,f,y,g,f,t,p,w,o,y,d,e
f,h,f,b,f,y,n,f,t,p,w,o,y,d,e
j,i,j,a,x,f,g,f,e,p,w,o,s,d,p
m,f,a,c,f,f,e,f,t,p,w,o,v,d,e
q,j,b,c,x,s,w,f,e,p,w,o,s,d,p
p,o,a,b,f,y,n,f,t,p,w,o,v,d,e
j,h,j,c,x,f,g,f,e,p,w,o,v,d,p
f,k,e,b,f,y,g,f,e,p,w,o,y,g,p
r,g,b,b,f,y,g,f,t,p,w,o,v,d,e
o,m,h,b,x,f,g,f,e,p,w,o,v,g,p
o,h,h,c,f,y,g,f,t,p,w,o,v,d,e
h,a,j,b,x,f,g,f,e,p,w,o,y,g,p
n,m,a,a,f,f,g,f,e,p,w,o,y,p,p
j,h,i,c,f,f,e,f,t,p,w,o,v,d,e
c,c,d,c,f,f,g,f,t,p,w,o,v,d,e
n,g,j,b,x,f,w,f,e,p,w,o,v,d,p
k,b,h,c,f,f,g,f,t,p,w,o,y,d,e
e,j,i,c,x,f,g,f,e,p,w,o,y,p,p
h,l,c,c,x,y,y,f,e,p,w,o,v,d,p
a,f,i,b,f,y,g,f,e,p,w,o,y,p,p
f,m,d,b,x,f,y,f,e,p,w,o,v,g,p
d,n,d,a,x,f,w,f,e,p,w,o,v,d,p
b,a,b,b,x,y,y,f,e,p,w,o,y,d,p
m,j,f,c,x,y,y,f,e,p,w,o,v,d,p
l,b,c,a,x,f,y,f,e,p,w,o,v,p,p
k,o,a,a,f,f,y,f,e,p,w,o,v,d,p
a,n,g,b,f,f,y,f,e,p,w,o,y,d,p
r,d,c,a,f,y,g,f,t,p,w,o,y,d,e
g,c,c,b,x,y,g,f,e,p,w,o,y,g,p
e,o,c,a,f,f,y,f,e,p,w,o,y,p,p
o,c,g,a,f,f,y,f,e,p,w,o,y,g,p
q,e,g,b,x,f,g,f,t,p,w,o,y,d,e
s,n,f,b,f,y,n,f,t,p,w,o,v,d,e
j,m,a,a,f,y,e,f,t,p,w,o,v,d,e
o,m,g,b,x,y,y,f,e,p,w,o,v,g,p
l,d,e,c,f,y,g,f,e,p,w,o,v,g,p
b,e,i,c,f,y,g,f,e,p,w,o,v,d,p
j,o,a,c,f,y,e,f,t,p,w,o,y,d,e
c,j,j,c,f,y,g,f,e,p,w,o,v,g,p
d,n,i,a,f,f,e,f,t,p,w,o,v,d,e
i,o,g,b,f,f,g,f,t,p,w,o,v,d,e
k,n,e,c,f,f,g,f,t,p,w,o,v,d,e
m,e,b,a,x,f,g,f,e,p,w,o,y,d,p
q,e,f,c,x,y,y,f,e,p,w,o,y,g,p
c,e,b,b,f,f,y,f,e,p,w,o,y,g,p
j,b,b,c,f,y,e,f,t,p,w,o,v,d,e
n,n,c,b,x,f,y,f,e,p,w,o,y,d,p
a,l,f,c,f,y,g,f,e,p,w,o,y,p,p
i,e,a,c,f,f,y,f,e,p,w,o,v,g,p
m,o,g,c,f,y,y,f,e,p,w,o,v,d,p
n,d,f,b,x,y,g,f,e,p,w,o,y,p,p
k,d,b,b,f,f,y,f,e,p,w,o,v,p,p
k,f,h,c,x,s,p,f,e,p,w,o,s,d,p
b,l,j,b,x,y,y,f,e,p,w,o,v,g,p
p,f,b,a,f,f,e,f,t,p,w,o,v,d,e
e,j,g,c,f,y,e,f,t,p,w,o,y,d,e
k,a,i,a,x,f,p,f,e,p,w,o,v,d,p
b,k,b,c,x,f,y,f,e,p,w,o,v,g,p
p,d,h,b,f,y,g,f,e,p,w,o,v,g,p
l,l,a,c,x,y,g,f,t,p,w,o,y,d,e
a,b,d,a,f,f,e,f,t,p,w,o,y,d,e
d,e,h,c,f,y,g,f,e,p,w,o,v,d,p
l,e,j,c,f,y,g,f,t,p,w,o,v,d,e
i,a,a,c,x,f,y,f,e,p,w,o,v,d,p
p,h,a,a,f,y,g,f,e,p,w,o,y,g,p
h,f,h,a,f,f,e,f,t,p,w,o,v,d,e
n,i,i,b,x,y,y,f,e,p,w,o,v,g,p
j,a,b,b,f,f,y,f,e,p,w,o,y,g,p
f,n,c,b,x,y,y,f,e,p,w,o,v,g,p
d,m,c,a,f,f,g,f,e,p,w,o,y,g,p
p,k,c,a,x,s,p,f,e,p,w,o,s,d,p
h,l,b,b,x,f,g,f,e,p,w,o,s,d,p
e,g,f,b,x,y,g,f,e,p,w,o,v,p,p
g,j,j,b,x,y,y,f,e,p,w,o,y,p,p
r,e,f,a,f,f,g,f,e,p,w,o,v,d,p
g,e,j,c,f,y,g,f,t,p,w,o,v,d,e
b,c,j,c,x,s,g,f,t,p,w,o,v,u,p
g,i,h,a,x,y,y,f,e,p,w,o,y,d,p
n,g,b,b,f,f,g,f,t,p,w,o,v,d,e
k,n,b,b,f,f,y,f,e,p,w,o,y,d,p
n,e,a,c,x,y,g,f,e,p,w,o,y,p,p
n,l,g,a,f,f,y,f,e,p,w,o,v,p,p
s,d,d,b,x,y,g,f,e,p,w,o,y,g,p
s,c,i,b,f,y,g,f,e,p,w,o,y,g,p
h,a,g,a,f,y,y,f,e,p,w,o,y,p,p
q,c,b,c,x,f,y,f,e,p,w,o,y,p,p
c,f,g,b,x,s,w,f,e,p,w,o,v,d,p
c,i,e,b,x,y,g,f,e,p,w,o,v,p,p
i,j,b,b,x,f,g,f,e,p,w,o,y,p,p
m,e,e,a,f,y,n,f,t,p,w,o,v,d,e
i,g,i,b,f,f,g,f,t,p,w,o,v,d,e
j,f,j,c,x,f,y,f,e,p,w,o,y,p,p
p,m,b,b,x,s,p,f,e,p,w,o,s,d,p
q,e,a,c,f,f,g,f,e,p,w,o,v,g,p
m,j,a,b,x,f,g,f,e,p,w,o,v,g,p
d,m,i,b,x,s,w,f,e,p,w,o,v,d,p
n,a,g,c,f,f,e,f,t,p,w,o,v,d,e
o,d,g,c,f,y,g,f,e,p,w,o,v,g,p
r,h,f,b,x,f,p,f,e,p,w,o,v,d,p
k,a,h,a,f,s,w,f,t,p,w,o,v,g,p
d,k,f,a,x,y,y,f,e,p,w,o,v,p,p
q,c,c,a,x,y,b,f,e,p,w,t,c,w,e
o,j,b,a,f,f,g,f,e,p,w,o,y,g,p
d,h,e,a,x,f,g,f,e,p,w,o,y,g,p
l,f,e,c,x,f,y,f,e,p,w,o,y,g,p
b,o,h,a,f,f,y,f,e,p,w,o,y,g,p
p,i,b,c,f,f,g,f,t,p,w,o,y,d,e
n,a,e,b,x,f,y,f,e,p,w,o,v,d,p
j,f,d,b,x,y,g,f,e,p,w,o,v,d,p
a,f,f,b,f,f,g,f,e,p,w,o,y,g,p
o,e,h,b,x,f,g,f,e,p,w,o,s,d,p
k,b,j,a,x,f,g,f,e,p,w,o,v,d,p
r,h,c,a,x,y,g,f,e,p,w,o,v,g,p
d,l,f,b,x,s,g,f,t,p,w,o,s,g,p
d,c,c,a,x,y,g,f,e,p,w,o,v,g,p
a,n,e,a,f,y,g,f,t,p,w,o,y,d,e
j,k,i,c,f,f,y,f,e,p,w,o,v,d,p
d,o,h,c,f,f,e,f,t,p,w,o,v,d,e
q,h,g,a,f,y,g,f,e,p,w,o,y,p,p
h,a,i,b,f,y,n,f,t,p,w,o,v,d,e
n,m,b,c,f,f,e,f,t,p,w,o,y,d,e
c,c,e,b,x,y,g,f,e,p,w,o,y,p,p
s,m,j,c,x,y,g,f,e,p,w,o,y,d,p
n,g,d,b,f,f,e,f,t,p,w,o,v,d,e
b,k,h,a,f,f,g,f,e,p,w,o,v,p,p
m,k,d,b,f,f,g,f,t,p,w,o,y,d,e
f,b,c,a,f,y,e,f,t,p,w,o,y,d,e
r,b,g,c,f,y,e,f,t,p,w,o,v,d,e
f,k,f,a,f,f,g,f,e,p,w,o,y,p,p
l,c,f,c,x,f,e,f,t,p,w,o,v,d,e
g,a,i,b,f,y,g,f,e,p,w,o,v,d,p
p,l,b,a,x,y,y,f,e,p,w,o,v,p,p
r,m,i,c,f,y,y,f,e,p,w,o,v,d,p
a,o,i,a,x,f,y,f,e,p,w,o,v,p,p
b,j,a,c,x,y,y,f,e,p,w,o,v,d,p
l,g,a,a,x,f,g,f,t,p,w,o,v,d,e
m,g,c,b,x,y,g,f,t,p,w,o,v,d,e
j,g,i,a,f,y,g,f,e,p,w,o,v,g,p
c,l,c,a,f,f,y,f,e,p,w,o,y,d,p
b,k,a,a,x,y,g,f,e,p,w,o,y,p,p
f,d,f,a,x,y,e,f,t,p,w,o,v,p,p
o,o,i,c,x,y,g,f,e,p,w,o,y,p,p
f,i,e,b,x,y,g,f,e,p,w,o,v,g,p
b,k,f,c,x,s,g,f,e,p,w,o,v,d,p
m,b,e,b,f,f,g,f,e,p,w,o,v,g,p
d,f,g,c,f,s,b,f,t,p,w,o,s,g,p
j,f,a,c,x,y,g,f,e,p,w,o,v,d,p
n,h,f,b,x,y,y,f,e,p,w,o,y,d,p
l,h,e,a,x,s,w,f,e,p,w,o,s,d,p
a,e,g,a,x,y,y,f,e,p,w,o,v,d,p
a,b,d,c,f,f,e,f,t,p,w,o,v,d,e
j,k,j,c,x,y,g,f,e,p,w,o,y,g,p
l,j,h,b,x,f,y,f,e,p,w,o,v,d,p
s,o,f,a,x,f,y,f,e,p,w,o,v,p,p
i,n,a,c,f,f,g,f,e,p,w,o,v,g,p
q,f,d,b,x,f,y,f,e,p,w,o,y,d,p
h,g,g,a,f,f,g,f,t,p,w,o,v,d,e
p,n,e,a,x,f,g,f,e,p,w,o,y,d,p
d,f,f,c,f,y,n,f,t,p,w,o,y,d,e
q,d,f,a,f,y,g,f,e,p,w,o,v,d,p
f,m,j,c,f,f,g,f,e,p,w,o,y,p,p
m,o,f,b,f,f,g,f,e,p,w,o,v,d,p
h,j,i,b,x,s,w,f,e,p,w,o,v,d,p
f,n,h,c,x,y,g,f,e,p,w,o,y,d,p
p,n,e,b,f,y,n,f,t,p,w,o,v,d,e
m,l,g,a,x,f,w,f,e,p,w,o,s,d,p
e,f,i,a,x,f,y,f,e,p,w,o,v,d,p
g,k,d,c,x,f,y,f,e,p,w,o,y,d,p
a,o,f,b,x,f,p,f,e,p,w,o,v,d,p
d,j,d,c,f,f,y,f,e,p,w,o,y,d,p
l,n,b,c,f,f,g,f,e,p,w,o,v,p,p
b,g,c,c,f,y,e,f,t,p,w,o,v,d,e
k,n,d,c,x,y,y,f,e,p,w,o,v,p,p
n,l,b,c,f,f,y,f,e,p,w,o,v,p,p
p,n,b,b,x,f,g,f,e,p,w,o,s,d,p
j,k,h,c,x,s,p,f,e,p,w,o,v,d,p
m,o,b,a,x,f,e,f,t,p,w,o,v,d,e
k,l,e,b,x,y,y,f,e,p,w,o,v,g,p
b,c,d,c,f,f,n,f,t,p,w,o,y,d,e
g,h,g,b,f,y,e,f,t,p,w,o,y,d,e
k,b,a,a,f,y,y,f,e,p,w,o,y,d,p
l,j,f,b,x,f,y,f,e,p,w,o,y,g,p
b,f,e,c,x,y,g,f,e,p,w,o,v,d,p
a,n,h,a,f,f,g,f,e,p,w,o,y,d,p
m,k,f,c,f,f,y,f,e,p,w,o,y,p,p
h,i,b,a,f,y,g,f,t,p,w,o,y,d,e
r,c,g,b,x,y,g,f,e,p,w,o,v,p,p
e,b,f,a,x,y,y,f,e,p,w,o,v,p,p
k,m,h,b,f,f,g,f,e,p,w,o,v,p,p
d,b,j,c,f,f,y,f,e,p,w,o,y,p,p
a,o,h,b,f,f,e,f,t,p,w,o,v,d,e
f,f,j,c,f,y,n,f,t,p,w,o,v,d,e
f,j,j,b,x,f,y,f,e,p,w,o,y,g,p
s,h,g,c,f,y,u,f,e,p,w,o,y,d,e
q,j,b,b,f,y,n,f,t,p,w,o,y,d,e
b,m,c,a,f,y,y,f,e,p,w,o,v,g,p
o,m,e,c,f,f,y,f,e,p,w,o,v,g,p
h,i,g,c,x,y,g,f,e,p,w,o,y,d,p
o,b,i,c,x,y,g,f,e,p,w,o,y,p,p
g,c,b,b,f,f,y,f,e,p,w,o,v,p,p
q,a,i,a,x,y,y,f,e,p,w,o,y,d,p
r,l,d,c,x,f,y,f,e,p,w,o,v,p,p
n,e,c,b,x,y,g,f,e,p,w,o,v,p,p
c,k,d,b,x,f,y,f,e,p,w,o,y,p,p
a,b,j,b,x,f,g,f,t,p,w,o,v,d,e
i,k,i,c,f,y,g,f,e,p,w,o,y,d,p
p,n,f,b,f,y,e,f,t,p,w,o,v,d,e
a,g,f,a,x,f,g,f,e,p,w,o,v,d,p
j,a,e,b,f,f,y,f,e,p,w,o,v,d,p
h,b,f,c,f,y,n,f,t,p,w,o,y,d,e
k,h,i,c,f,f,g,f,t,p,w,o,y,d,e
e,g,e,a,f,y,g,f,e,p,w,o,v,g,p
h,f,e,c,x,f,e,f,t,p,w,o,v,d,e
s,g,j,b,f,f,e,f,t,p,w,o,y,d,e
p,m,e,a,f,y,y,f,e,p,w,o,v,p,p
p,h,g,a,x,f,w,f,e,p,w,o,v,d,p
s,j,f,c,x,y,g,f,e,p,w,o,y,d,p
m,o,b,c,x,y,e,f,t,p,w,o,v,d,p
k,c,b,b,x,f,y,f,e,p,w,o,v,p,p
a,f,i,a,f,y,g,f,e,p,w,o,y,d,p
n,c,i,a,f,y,g,f,t,p,w,o,y,d,e
b,b,b,a,x,y,n,f,t,p,w,o,v,l,p
i,l,c,c,f,y,e,f,t,p,w,o,v,d,e
m,i,i,a,b,s,b,f,e,p,w,t,v,m,p
r,f,g,b,f,f,g,f,t,p,w,o,y,d,e
p,k,a,a,f,f,g,f,e,p,w,o,v,g,p
g,f,b,a,f,y,g,f,t,p,w,o,y,d,e
k,d,c,c,f,f,y,f,e,p,w,o,y,p,p
a,l,j,a,f,f,y,f,e,p,w,o,y,g,p
q,n,f,c,f,f,g,f,e,p,w,o,v,g,p
s,c,h,c,f,f,e,f,t,p,w,o,v,d,e
n,m,h,a,x,f,g,f,e,p,w,o,y,p,p
b,g,a,b,f,f,y,f,e,p,w,o,v,g,p
i,n,f,c,x,f,y,f,e,p,w,o,v,d,p
n,o,d,c,x,f,y,f,e,p,w,o,y,p,p
c,h,j,c,f,f,y,f,e,p,w,o,v,g,p
k,c,j,a,f,f,y,f,e,p,w,o,v,g,p
e,j,d,b,x,y,g,f,e,p,w,o,v,p,p
o,l,h,a,f,y,e,f,t,p,w,o,v,d,e
n,i,e,a,f,f,g,f,e,p,w,o,v,d,p
b,l,e,a,f,f,y,f,e,p,w,o,v,g,p
n,j,g,b,f,f,n,f,t,p,w,o,v,d,e
j,a,b,c,x,y,y,f,e,p,w,o,v,p,p
r,o,f,b,x,y,y,f,e,p,w,o,v,p,p
h,l,a,c,f,y,n,f,t,p,w,o,y,d,e
n,e,a,a,f,y,g,f,e,p,w,o,y,p,p
b,o,b,c,f,f,e,f,t,p,w,o,y,d,e
i,f,e,c,x,y,y,f,e,p,w,o,v,g,p
o,j,e,a,f,y,g,f,e,p,w,o,v,d,p
n,d,b,a,x,y,y,f,e,p,w,o,v,d,p
h,a,a,b,x,s,g,f,e,p,w,o,s,d,p
c,c,g,c,f,f,g,f,t,p,w,o,v,d,e
r,h,j,b,f,y,g,f,e,p,w,o,y,g,p
o,k,e,c,x,f,g,f,e,p,w,o,y,d,p
q,l,d,a,f,y,g,f,e,p,w,o,v,p,p
a,j,b,a,f,y,n,f,t,p,w,o,v,d,e
d,f,f,a,x,y,y,f,e,p,w,o,y,d,p
m,m,c,a,f,f,g,f,e,p,w,o,y,d,p
r,j,a,b,f,y,e,f,t,p,w,o,v,d,e
i,l,e,b,f,y,e,f,t,p,w,o,v,d,e
b,c,g,a,f,s,g,f,t,p,w,o,v,u,p
f,o,f,a,x,f,g,f,e,p,w,o,y,p,p
q,g,a,b,f,y,g,f,e,p,w,o,v,p,p
l,c,b,a,x,y,g,f,e,p,w,o,v,p,p
q,b,f,c,x,f,y,f,e,p,w,o,v,d,p
o,g,c,c,f,y,g,f,e,p,w,o,v,d,p
k,k,e,b,f,y,g,f,e,p,w,o,v,p,p
d,g,a,a,f,y,e,f,t,p,w,o,y,d,e
n,e,i,b,x,y,g,f,e,p,w,o,v,g,p
o,l,e,b,f,y,g,f,e,p,w,o,v,g,p
s,h,g,b,x,y,g,f,e,p,w,o,y,p,p
e,i,f,c,f,f,e,f,t,p,w,o,v,d,e
i,i,h,c,f,y,e,f,t,p,w,o,v,d,e
d,c,b,a,f,y,e,f,t,p,w,o,y,d,e
s,l,b,a,f,f,y,f,e,p,w,o,v,g,p
s,g,b,b,f,f,g,f,e,p,w,o,y,p,p
s,f,h,c,f,y,n,f,t,p,w,o,y,d,e
o,c,j,c,x,y,g,f,e,p,w,o,y,g,p
i,i,b,a,f,f,g,f,t,p,w,o,v,d,e
i,c,d,b,x,f,y,f,e,p,w,o,v,p,p
p,j,d,a,x,y,y,f,e,p,w,o,v,d,p
r,n,b,b,x,y,y,f,e,p,w,o,v,d,p
o,a,j,a,f,f,c,f,e,p,w,o,v,l,e
f,c,b,b,x,f,g,f,e,p,w,o,v,d,p
e,k,d,a,f,f,g,f,e,p,w,o,y,g,p
e,n,d,c,x,y,g,f,e,p,w,o,v,g,p
i,i,g,c,f,y,g,f,e,p,w,o,y,g,p
k,n,h,c,x,s,b,f,t,p,w,o,s,u,p
h,m,a,c,f,f,g,f,e,p,w,o,v,d,p
n,l,j,c,x,y,g,f,e,p,w,o,v,g,p
c,i,c,c,f,f,y,f,e,p,w,o,y,p,p
r,f,j,c,f,f,g,f,e,p,w,o,v,p,p
b,n,c,a,f,f,g,f,e,p,w,o,y,d,p
o,o,b,c,f,f,g,f,t,p,w,o,y,d,e
a,c,a,b,x,f,y,f,e,p,w,o,y,p,p
k,c,g,c,x,f,y,f,e,p,w,o,y,p,p
p,m,j,b,f,y,e,f,t,p,w,o,y,d,e
a,b,g,b,f,y,g,f,e,p,w,o,v,p,p
d,h,g,c,f,f,g,f,e,p,w,o,y,d,p
c,b,f,b,x,y,y,f,e,p,w,o,y,d,p
p,n,b,c,f,f,g,f,t,p,w,o,y,d,e
a,c,i,b,x,f,g,f,e,p,w,o,v,g,p
a,k,d,c,x,f,g,f,e,p,w,o,y,p,p
n,e,i,a,f,y,n,f,t,p,w,o,y,d,e
r,l,c,a,f,f,g,f,t,p,w,o,v,d,e
q,n,h,a,x,y,g,f,e,p,w,o,v,d,p
s,n,f,c,f,y,y,f,e,p,w,o,v,p,p
q,i,b,a,f,f,y,f,e,p,w,o,v,d,p
r,b,h,a,f,f,g,f,e,p,w,o,v,p,p
c,a,f,a,f,f,g,f,e,p,w,o,y,p,p
h,k,h,b,f,y,g,f,e,p,w,o,y,g,p
c,f,e,a,f,s,b,f,t,p,w,o,s,u,p
o,l,g,c,f,f,e,f,t,p,w,o,y,d,e
j,b,a,b,x,y,n,f,t,p,w,o,v,d,p
b,n,j,b,x,y,g,f,t,p,w,o,v,d,e
s,m,j,a,x,f,g,f,e,p,w,o,v,d,p
c,c,b,c,x,f,p,f,e,p,w,o,v,d,p
j,c,c,a,x,y,n,f,t,p,w,o,v,l,p
g,o,d,b,f,f,g,f,e,p,w,o,y,p,p
c,c,i,a,x,f,y,f,e,p,w,o,v,g,p
h,l,i,c,x,s,g,f,t,p,w,o,s,u,p
j,e,e,a,f,y,g,f,e,p,w,o,y,p,p
f,l,g,b,x,f,y,f,e,p,w,o,y,d,p
k,b,e,c,f,y,g,f,e,p,w,o,y,p,p
n,m,j,a,f,f,g,f,e,p,w,o,y,d,p
h,e,a,a,f,y,g,f,e,p,w,o,y,d,p
h,h,j,b,x,y,g,f,e,p,w,o,y,g,p
h,n,g,a,f,f,g,f,e,p,w,o,y,g,p
m,c,b,a,x,f,y,f,e,p,w,o,y,g,p
i,j,i,a,f,f,y,f,e,p,w,o,v,g,p
e,i,i,a,x,f,y,f,e,p,w,o,v,g,p
c,g,b,c,x,f,y,f,e,p,w,o,y,g,p
k,d,e,b,x,y,y,f,e,p,w,o,v,g,p
m,n,c,b,f,s,g,f,t,p,w,o,v,u,p
h,k,c,a,x,f,y,f,e,p,w,o,y,g,p
a,i,d,c,f,f,y,f,e,p,w,o,y,g,p
a,a,i,a,f,y,g,f,e,p,w,o,y,d,p
o,g,j,c,f,f,y,f,e,p,w,o,y,d,p
a,f,d,a,f,f,y,f,e,p,w,o,v,d,p
a,k,j,b,x,y,g,f,e,p,w,o,v,p,p
q,e,b,b,x,y,g,f,e,p,w,o,y,p,p
p,k,j,c,f,y,e,f,t,p,w,o,v,d,e
k,a,j,a,f,f,y,f,e,p,w,o,v,d,p
i,b,c,c,f,f,g,f,e,p,w,o,y,d,p
m,j,d,a,f,y,g,f,e,p,w,o,v,p,p
m,n,d,b,x,f,y,f,e,p,w,o,v,g,p
q,a,f,c,x,f,y,f,e,p,w,o,v,p,p
i,e,g,a,x,f,g,f,e,p,w,o,y,d,p
e,h,h,c,x,y,y,f,e,p,w,o,y,p,p
o,f,e,c,f,s,w,f,t,p,w,o,s,u,p
p,l,j,b,f,f,y,f,e,p,w,o,v,g,p
h,b,h,a,f,f,y,f,e,p,w,o,v,d,p
n,j,a,c,f,y,g,f,e,p,w,o,y,p,p
f,j,g,a,f,f,y,f,e,p,w,o,y,d,p
l,f,c,b,f,f,y,f,e,p,w,o,v,d,p
a,e,a,a,f,f,g,f,e,p,w,o,v,p,p
s,m,a,a,x,y,g,f,e,p,w,o,y,g,p
a,h,d,b,x,f,y,f,e,p,w,o,y,p,p
